id,name,rarity,baseProperty1,baseProperty2,intro,skillname,skillDesc,obtain,tag,label
85,桂木斩长正,4,元素充能效率10.0%,基础攻击力42,过去在踏鞴砂打造的刀，沉重而坚韧。,名士振舞,元素战技造成的伤害提升6%/7.5%/9%/10.5%/12%。元素战技命中后，角色流失3点元素能量，并在此后的6秒内，每2秒恢复3/3.5/4/4.5/5点元素能量。该效果每10秒至多触发一次，角色处于队伍后台也能触发。,锻造、完成踏鞴物语任务後蒐集三把钥匙,能量回复,weapon
86,西风大剑,4,元素充能效率13.3%,基础攻击力41,西风骑士团的重型仪式剑。能轻易导出元素力量，具有卓越的破坏力。,顺风而行,攻击造成暴击时，有60%/70%/80%/90%/100%的几率产生少量元素微粒，能为角色恢复6点元素能量。该效果每12/10.5/9/7.5/6秒只能触发一次。,祈愿,能量回复、自身限制,weapon
87,试作古华,4,攻击力6.0%,基础攻击力44,黑岩厂中秘藏的古老大刀。挥舞时，仿佛连空间本身也要被一刀两断。,粉碎,普通攻击和重击命中时，有50%的概率对小范围内的敌人造成240%/300%/360%/420%/480%攻击力的额外伤害。该效果每15秒只能触发一次。,锻造,额外伤害,weapon
88,雪葬的星银,4,物理伤害加成7.5%,基础攻击力44,储存在壁画之间的古老大剑。由星银铸成，似乎拥有斩开冰雪的力量。,霜葬,普通攻击与重击命中敌人时，有60%/70%/80%/90%/100%概率在敌人上方生成恒冰晶核并坠落，造成80%/95%/110%/125%/140%攻击力的范围伤害。若敌人处于冰元素影响下，则造成200%/240%/280%/320%/360%攻击力的伤害。该效果每10秒至多触发一次。,锻造、任务,额外伤害、冰,weapon
89,螭骨剑,4,暴击率6.0%,基础攻击力42,来自古代大海的稀有兵器，舞剑猎猎宛如太古的涛声。,破浪,角色在场上时，每4秒提升6%/7%/8%/9%/10%造成的伤害，3%/2.7%/2.4%/2.2%/2%受到的伤害。该效果最多叠加5层，不随角色退场重置，受到伤害后会减少1层效果,纪行,层数叠加、伤害加成、负面效果,weapon
90,以理服人,3,攻击力7.7%,基础攻击力39,精钢打造的趁手大铁棒子，最好的理论依据。,有话直说,施放元素战技后，普通攻击和重击命中时会在小范围内额外造成60%/75%/90%/105%/120%攻击力的伤害。该效果持续15秒，伤害每3秒只能触发一次。,祈愿、宝箱,额外伤害,weapon
91,飞天大御剑,3,物理伤害加成9.6%,基础攻击力39,可靠的大剑。传说著名的「御剑公子」曾试图借助它二度飞天。,勇气,普通攻击和重击命中时，攻击力提高6%/7%/8%/9%/10%，持续6秒，最多叠加4层，该效果每0.5秒只能触发一次。,孤云阁附近拔出、宝箱,攻击力、层数叠加,weapon
92,沐浴龙血的剑,3,元素精通41,基础攻击力38,据说是北方英雄浸过龙血的钢铁大剑，有刀枪不入的神力...这种护佑并不会延伸到挥舞它的人身上。,踏火息雷,对处于火元素或雷元素影响下的敌人，造成的伤害提高12%/15%/18%/21%/24%。,祈愿,火、雷、伤害加成,weapon
93,铁影阔剑,3,生命值7.7%,基础攻击力39,这把剑是著名的光之狮艾伦德林的佩剑的仿品。握紧它，感受传说中大英雄的力量吧!注意:幻想请适度。,不屈,生命值低于70%/75%/80%/85%/90%时，重击不会轻易被打断，并提高30%/35%/40%/45%/50%重击伤害。,祈愿,自身限制、重击,weapon
94,白铁大剑,3,防御力9.6%,基础攻击力39,N/A,收割,击败敌人时，恢复8%/10%/12%/14%/16%生命值。,蒙德宝箱,生命回复、对象限制,weapon
95,佣兵重剑,2,N/A,基础攻击力33,沉重坚实的古旧大剑，饱经战火与岁月的洗练。,N/A,N/A,宝箱、商店购买,N/A,weapon
96,训练大剑,1,N/A,基础攻击力23,仅仅是削出剑形的厚重铁片。在意志强韧的人手里，也有劈开磐石的力量。,N/A,N/A,初始武器赠送、宝箱、商店购买,N/A,weapon
97,磐岩结绿,5,暴击率9.6%,基础攻击力44,由纯净的翠玉精琢细雕而成的仪礼宝剑，挥舞时剑风中似有叹息之声。,N/A,"生命值提升20%/25%/30%/35%/40%。此外，基于装备该武器的角色生命值上限的1.2%/1.5%/1.8%/2.1%/2.4%,获得攻击力加成。",限定祈愿,攻击力、生命值,weapon
98,斫峰之刃,5,攻击力10.8%,基础攻击力46,传说中象征着某一则特定契约的利刃，曾经斩落过山岳的尖端,金璋皇极,护盾强效提升20%/25%/30%/35%/40%。攻击命中后的8秒内，攻击力提升4%/5%/6%/7%/8%。该效果至多可叠加5层，每0.3秒只能触发一次。此外，处于护盾庇护下时，该效果的攻击力提升效果提高100%。,限定祈愿,攻击力、护盾强效、层数叠加、护盾庇护,weapon
99,雾切之回光,5,暴击伤害9.6%,基础攻击力48,闪烁着凄烈紫光的太刀。名之为「回光」是因为一度破碎的过去。,雾切御腰物,获得12%/15%/18%/21%/24%所有元素伤害加成，并能获得「雾切之巴印」的威势。雾切之巴印：持有1/2/3层雾切之巴印时，获得(8%/16/28%)/‌(10%/20%/35%)/‌(12%/24%/42%)/‌(14%/28%/49%)/‌(16%/32%/56%)自己的元素类型的元素伤害加成。在下列情况下，角色将各获得1层雾切之巴印：普通攻击造成元素伤害时，持续5秒；施放元素爆发时，持续10秒；此外，角色元素能量低于100%时，将获得1层雾切之巴印，此雾切之巴印会在角色的元素能量充满时消失。每层雾切之巴印的持续时间独立计算。,限定祈愿,N/A,weapon
100,天空之刃,5,元素充能效率12.0%,基础攻击力46,象征风龙的荣誉的骑士剑，如今失而复得。剑脊上吹息着风之神的赐福，蕴含着苍空与长风的力量,穿刺高天的利齿,暴击率提升4%/5%/6%/7%/8%；施放元素爆发时，获得破空之势：移动速度提升10%，攻击速度提升10%，普通攻击与重击命中时，额外造成20%/25%/30%/35%/40%攻击力的伤害，持续12秒。,祈愿,暴击率、移动速度、攻击速度、额外伤害,weapon
101,风鹰剑,5,物理伤害加成9.0%,基础攻击力48,西风骑士团的灵魂。历经千年仍在呼唤你卷起正义之风，祓除奸邪，一如上一位挥舞此剑的女杰。,西风之鹰的抗争,攻击力提高20%/25%/30%/35%/40%；受到伤害时触发：高扬抗争旗号的西风鹰之魂苏醒，恢复同等与攻击力的100%/115%/130%/145%/160%生命值，并对周围的敌人造成200%/230%/260%/290%/320%攻击力的伤害。该效果每15秒只能触发一次。,祈愿,攻击力、生命回复、额外伤害,weapon
102,苍古自由之誓,5,元素精通43,基础攻击力46,如同悠古的歌声一般苍蓝的直剑，如同风之国土自由的誓言一般锐利的武器。,抗争的践行之歌,N/A,限定祈愿,N/A,weapon
103,暗巷闪光,4,元素精通12,基础攻击力45,有着黑夜颜色的笔直长剑，曾属于穿行于暗巷的盗贼。,街巷游侠,造成的伤害提升12%/15%/18%/21%/24%，受到伤害后的5秒内失效。,限定祈愿,伤害加成,weapon
104,腐殖之剑,4,元素充能效率10.0%,基础攻击力42,希冀着生命的诡谲直剑，附有连龙也能侵蚀的腐殖之毒。,N/A,元素战技造成的伤害增加16/20/24/28/32%，元素战技的暴击率提升6/7.5/9/10.5/12%。,活动(已结束),元素战技、伤害加成、暴击率,weapon
105,试作斩岩,4,物理伤害加成7.5%,基础攻击力44,黑岩厂中秘藏的古老长剑。可挥砍断岩而刃不卷。,碎石,普通攻击或重击命中时，攻击力（原为基础攻击力）和防御力提高4%/5%/6%/7%/8%，持续6秒，最多叠加4层。该效果每0.3秒只能触发一次。,锻造、冒险等阶10级奖励获取、完成星之归还活动获取,物理伤害、攻击力、防御力、层数叠加,weapon
106,黑剑,4,暴击率6.0%,基础攻击力42,渴求着纷争与砍杀的漆黑长剑，据说会让人沉醉在浴血厮杀的亢奋中。,「正义」,普通攻击与重击造成的伤害提升20%/25%/30%/35%/40%；此外普通攻击和重击暴击时，恢复等同于攻击力60/70/80/90/100%的生命值。该效果每5秒至多发动一次。,纪行,普通攻击、重击、生命回复、暴击率,weapon
107,黑岩长剑,4,暴击伤害8.0%,基础攻击力44,黑岩锻造而成的长剑。玄色的剑身隐隐流露血光。,乘胜追击,击败敌人后，攻击力提升12%/15%/18%/21%/24%，持续30秒。该效果至多叠加三层，每层持续时间独立。,商城兑换,对象限制、层数叠加,weapon
108,西风剑,4,元素充能效率13.3%,基础攻击力41,西风骑士团的制式长剑。轻快锐利之余，也能轻易导出元素力量。,顺风而行,攻击造成暴击时，有60%/70%/80%/90%/100%的几率产生少量元素微粒，能为角色恢复6点元素能量。该效果每12/10.5/9/7.5/6秒只能触发一次。,祈愿,能量回复、自身限制,weapon
109,降临之剑,4,攻击力7.7%,基础攻击力39,造型独特的剑。看起来并不属于这个世界。,降世,N/A,"""PlayStation Network""的玩家特典奖励",额外伤害、自身限制、攻击力,weapon
110,匣里龙吟,4,攻击力9.0%,基础攻击力42,雕饰浮华的利刃，却丝毫不损它的柔韧与锋锐。破空之声有如龙吟。,踏火息雷,对处于火元素或雷元素影响下的敌人，造成的伤害提高20%/24%/28%/32%/36%。,祈愿,火、雷、伤害加成,weapon
111,祭礼剑,4,元素充能效率13.3%,基础攻击力41,在漫长岁月中石化的道具剑，上面的仪式性装饰依然清晰可见。拥有受时间之风冲刷的祝福力量。,气定神闲,元素战技造成伤害时，有40%/50%/60%/70%/80%概率重置该技能的冷却时间，该效果每30/26/22/19/16秒只能触发一次。,祈愿,元素战技,weapon
112,天目影打刀,4,攻击力12%,基础攻击力41,传说中连以神速见长的天狗都能斩落的名士订制的刀。,岩藏之胤,施放元素战技后，获得1个胤种，该效果每5秒至多触发一次。胤种持续30秒，至多同时存在3个。施放元素爆发后，会清除持有的所有胤种，并在2秒之后，基于消耗的胤种数量，每个为该角色恢复6/7.5/9/10.5/12点元素能量。,锻造、完成农民的宝藏的任务可获得锻造图纸,能量回复,weapon
113,飞天御剑,3,元素充能效率11.3%,基础攻击力38,可靠的钢剑，传说著名的「御剑公子」曾试图借助它飞天。,决心,施放元素爆发后，提高12%/15%/18%/21%/24%攻击力和移动速度，持续15秒。,祈愿,攻击力、移动速度,weapon
114,冷刃,3,攻击力7.7%,基础攻击力39,多层锻打的精钢铸就的可靠兵器，曾见证旧主诸多冒险奇谭。,止水融冰,对处于水元素或冰元素影响下的敌人，造成的伤害提高12%/15%/18%/21%/24%。,祈愿,水、冰、伤害加成,weapon
115,笛剑,4,攻击力9.0%,基础攻击力42,N/A,和弦,普通攻击或重击命中时，会获得一个和音。积攒了5个和音后，释放音律的力量，对周围的敌人造成100%/125%/150%/175%/200%攻击力的伤害。和音最多存在30秒，每0.5秒至多获得1个和音。,祈愿,层数叠加、额外伤害,weapon
116,暗铁剑,3,元素精通31,基础攻击力39,其实就是稍微有些黑的铁剑。,过载,触发超载、超导、感电或雷元素扩散反应后的12秒内，攻击力提高20%/25%/30%/35%/40%。,对话、与璃月港快刀陈对话(全图仅一把),元素反应、攻击力、雷,weapon
117,铁蜂刺,4,元素精通36,基础攻击力42,N/A,注能之刺,造成元素伤害后的6秒内，角色造成的伤害提高6%/7.5%/9%/10.5%/12%，该效果最多叠加2层。该效果每1秒可以触发一次。,锻造,伤害加成、层数叠加,weapon
118,宗室长剑,4,攻击力9.0%,基础攻击力42,曾支配蒙德的旧日贵族的佩剑。做工精良，装饰与雕花彰显着挥舞者的身份。,专注,攻击造成伤害时，暴击率提升8%/10%/12%/14%/16%，最多堆叠5次。攻击造成暴击后，移除已有的专注效果。,商城兑换,暴击率、层数叠加,weapon
119,黎明神剑,3,暴击伤害10.2%,基础攻击力39,一把曾经耀若朝阳的宝剑，掌握它的人会获得「自我感觉良好」的力量加持。剑身上的发光材料已经褪去。,激励,生命值高于90%时，暴击率提升14%/17.5%/21%/24.5%/28%,祈愿、任务、（海盗秘宝孔雀羽之章）,暴击率、自身限制,weapon
120,吃虎鱼刀,3,攻击力7.7%,基础攻击力39,用来剖鱼的锋利铁刀，刀身狭长，非常锋利,决,攻击命中时，有50%的概率对单个敌人造成240%/280%/320%/360%/400%攻击力的伤害。该效果每15/14/13/12/11秒只能触发一次。,宝箱、与稻妻铁匠铺旁边的老人（铁匠的师傅）对话获取,额外伤害,weapon
121,旅行剑,3,防御力6.4%,基础攻击力40,趁手的钢剑，剑柄里藏着剪子、放大镜、火绒等方便旅行的小物件。,旅程,获得元素晶球或元素微粒时，恢复1%/1.25%/1.5%/1.75%/2%生命值。,宝箱,生命回复,weapon
122,银剑,2,N/A,基础攻击力33,能退魔的银剑。大家都知道，其实用料是银合金而不是纯银。,N/A,N/A,宝箱、商店购买,N/A,weapon
